formula,target
Y1 Zn1 N2 O1,2.14
Os1 Pt1 S1 O2,1.46
Be1 Fe1 N2 O1,1.7
Ga1 Ir1 N3,1.18
Nb1 Os1 N1 O1 F1,1.56
Bi1 Os1 O2 F1,2
Rb1 La1 N1 O1 F1,2.48
Mg1 Tl1 O2 F1,0.8
Nb1 Au1 N2 O1,1.78
Li1 Zn1 O3,1.46
Y1 Be1 N1 O1 F1,0.78
Al1 Tl1 N1 O1 F1,0.98
Nb1 Hg1 N3,1.32
K1 Cr1 O2 F1,0.2
Ni1 B1 S1 O2,1.38
Na1 Li1 N1 O1 F1,1.96
Re1 Sb1 N3,2.24
Sr1 Bi1 O2 F1,0.56
Al1 Cd1 N3,1.66
Sc1 Nb1 N2 O1,0.42
Li1 Te1 S1 O2,1.1
Sr1 Nb1 N1 O1 F1,0.56
Zr1 Au1 O3,1.72
Sr1 Te1 N1 O2,2.34
La1 Sb1 N1 O1 F1,1.06
Na1 Te1 N2 O1,2.1
Be1 Sb1 O2 F1,0.74
Mg1 W1 O2 F1,1
Hf1 Os1 N2 O1,0.98
Zr1 Si1 O2 F1,0.92
Ba1 Os1 N3,4.08
Ba1 Te1 O2 F1,0.64
Al1 In1 N1 O1 F1,1.84
Ca1 Mn1 N1 O2,0.42
V1 Ni1 N1 O1 F1,1.28
Mo1 As1 O3,0.88
Mg1 Fe1 S1 O2,0.82
Zr1 W1 N2 O1,0.52
Rb1 Zn1 N1 O2,1.42
Ag1 W1 S1 O2,1.6
Ta1 Si1 N3,1.64
Zr1 In1 S1 O2,1.74
Mn1 Si1 N1 O2,1.6
Cs1 Sc1 S1 O2,1.36
Sc1 Ni1 O3,1.42
Al1 Pt1 N1 O2,1.66
Ge1 Te1 O3,0.84
Cs1 Cd1 N1 O2,1.86
Sr1 Hf1 N2 O1,1.04
Hf1 Sc1 N1 O1 F1,0.96
Ba1 Cd1 N2 O1,1.62
Ru1 Os1 O2 F1,1.56
Ca1 Zr1 O2 F1,0.4
Cd1 Pb1 S1 O2,1.04
In1 B1 O2 F1,1.04
Co1 As1 N1 O1 F1,1.34
Cu1 Pb1 N3,2.04
Sr1 Hf1 N1 O1 F1,2.76
V1 Cd1 N2 O1,1.64
Cd1 Fe1 S1 O2,0.86
Y1 In1 N1 O2,1.4
Cr1 Ga1 O2 F1,0.44
Mn1 Co1 N3,1.26
Ir2 N1 O1 F1,1.86
Si1 As1 N1 O1 F1,1.18
Sb1 Pb1 N1 O2,0.64
Rb1 Al1 O2 F1,3.04
La1 Y1 N2 O1,0.9
Ta1 V1 S1 O2,0.74
Cd1 Au1 S1 O2,1.32
Rb1 Li1 N1 O2,1.82
Ca1 La1 N2 O1,1.7
Ni1 Ag1 S1 O2,1.34
Ta1 Tl1 O3,1.64
V1 Te1 O2 F1,1.3
Tl1 Ir1 O3,1.12
Nb1 Ir1 N3,1.34
Rb1 Pb1 N1 O2,2.38
Co1 Mo1 N3,1.18
Rb1 Co1 N3,2.16
As1 Pb1 S1 O2,0.68
Nb1 B1 N3,1.34
Ba1 Ni1 N1 O1 F1,0.98
Al1 Sb1 O2 F1,1.44
Ag1 Rh1 S1 O2,1.36
Re1 Ir1 N1 O2,1.52
Ti1 Cd1 N2 O1,1.08
La1 Co1 O3,1.76
Ca1 Y1 N3,2.46
Ti1 Cu1 N1 O1 F1,0.46
K1 Nb1 S1 O2,3.26
Cd1 Ge1 S1 O2,0.72
Zr1 Pt1 N3,1.34
In1 Bi1 S1 O2,0.72
In2 N2 O1,1.38
Na1 Sr1 O3,1.28
Rb1 Si1 N3,4.58
Ba1 La1 N2 O1,2.06
Sn2 O3,0.32
Ga1 Os1 N1 O2,1.06
Cr1 Os1 N1 O2,1.64
Cs1 Cu1 O3,2.54
Co1 Os1 N2 O1,1.52
Cs1 Sn1 N1 O1 F1,2.52
Sc1 Bi1 N3,1.6
Al1 Ga1 S1 O2,1.06
Ba1 In1 O2 F1,1.18
Ca1 Ti1 N1 O2,1.46
La1 In1 O2 F1,0.68
Si1 Te1 O2 F1,1.48
La1 Tl1 N2 O1,1.8
La1 Sb1 S1 O2,0.92
Ir1 W1 N1 O2,1.36
Na1 Zn1 N1 O1 F1,1.62
Ba1 Cr1 O3,1.96
Mg1 In1 N1 O2,1.42
Mn1 Cr1 N2 O1,0.94
Sc1 Hg1 N1 O2,1.5
Nb1 As1 O2 F1,1.4
In1 Ru1 O3,0.88
Zr1 Be1 N1 O1 F1,1.54
Ba1 Ti1 N1 O2,2.82
Ca1 In1 O2 F1,0.98
Na1 Rh1 S1 O2,1.34
K1 Bi1 N1 O2,0.98
Ti1 Te1 N3,1.92
Si1 As1 O3,1.48
Sc1 Co1 N1 O1 F1,1.22
Cu1 Hg1 N1 O1 F1,1.86
Ga1 As1 S1 O2,0.92
Ag2 N1 O2,2.24
Mn1 Ag1 N1 O2,1.72
Cd1 Hg1 N2 O1,2.1
Sr1 Cr1 N1 O2,0.2
Sr1 Co1 N2 O1,1.38
Cs1 Ba1 O3,1.26
V1 Ru1 N3,1.6
Sr1 As1 S1 O2,0.6
Co1 Os1 N3,1.56
Mn1 V1 O3,0.18
Rb1 Sr1 N1 O2,2.2
K1 In1 N1 O1 F1,1.14
Na1 Ta1 S1 O2,1.78
V1 As1 N3,1.4
La1 As1 O3,1.68
Zn1 Ag1 N1 O1 F1,1.9
Cr1 Bi1 N3,0.88
Cu1 Sb1 O3,0.82
Na1 Pt1 N2 O1,2.06
Sc1 Sn1 N1 O1 F1,0.84
Sb1 Os1 N1 O2,2
Sc1 Mn1 O3,0.52
Na1 Au1 O3,1.54
Mg1 Si1 N3,1.4
Ga1 Bi1 N3,1.6
Sr1 Li1 S1 O2,2.12
Hg1 Ir1 O2 F1,2.26
Li1 Pt1 O2 F1,2.12
K1 Sr1 S1 O2,2.36
Al1 Ru1 O3,1
Ag1 B1 N1 O1 F1,3.1
Mg1 Nb1 O2 F1,0.78
Sr1 Ir1 N3,1.5
Ru1 W1 N3,1.36
Na1 B1 O3,1.3
Mg1 Bi1 N1 O1 F1,1.54
Sr1 Sb1 N1 O2,0.4
Hg1 Pb1 S1 O2,1.08
Cs1 Hg1 N1 O2,2.6
Be1 Cd1 S1 O2,2.76
Hf1 Ti1 N1 O1 F1,1.12
Ba1 Pt1 O3,0.78
Ir1 W1 N2 O1,1.46
Mn1 Sb1 O3,0.42
Rb1 Os1 N1 O2,2.06
Fe1 Ag1 O3,1.06
Y1 Fe1 O2 F1,1.06
As1 Os1 S1 O2,1.38
La1 Nb1 N1 O2,0.18
Na1 Nb1 O3,1.24
Te2 N1 O2,1.56
Na1 Tl1 N3,3.22
Ca1 V1 N1 O2,0.2
K1 Ca1 N2 O1,2.88
Ta1 W1 N1 O2,0.62
Cs1 Fe1 N1 O2,1.08
Be1 In1 O3,2.12
Sn1 Sb1 N1 O2,0.96
Zr1 Au1 N1 O1 F1,1
Cu1 Ir1 N1 O2,1.82
Nb1 Co1 S1 O2,0.48
Cu1 Ir1 O2 F1,1.32
V1 Si1 N1 O2,0.84
La1 Ge1 N1 O1 F1,1.42
Mo1 Pb1 N3,0.74
Ir1 Pd1 S1 O2,1.34
Ba1 Sr1 O2 F1,0.54
Co1 Pb1 N2 O1,1.28
Cr1 Pb1 N1 O2,0.48
B1 Pb1 O2 F1,2.32
Li1 Ru1 S1 O2,1.3
Zr1 Sc1 O3,0.34
Cs1 Ge1 N1 O2,1.04
B1 Os1 O3,2.26
Ti1 Nb1 N2 O1,0.48
K1 Ga1 N3,3.68
Ca1 Sn1 N3,1.94
Na1 Mg1 N1 O2,1.4
Ge1 Bi1 N3,1.8
Zr1 Sb1 O3,0.46
Al1 Cr1 O2 F1,1.02
Ti1 Ir1 O2 F1,0.8
Zn1 Pb1 O2 F1,1.14
Na1 W1 N2 O1,0.7
Hf1 Ni1 O2 F1,1.58
La1 Hf1 N3,0.44
Y1 Sn1 O3,0.88
La1 Cr1 O2 F1,0.48
Mn1 Mo1 N2 O1,0.94
Fe1 W1 O3,1.46
In1 Os1 N1 O2,1.5
Ta1 Ga1 N2 O1,1.04
Sc1 Au1 S1 O2,1.78
Mg1 Co1 N2 O1,1.52
Mg1 Cr1 N1 O2,0.56
In1 W1 O2 F1,0.42
Ti2 N3,1.46
Rb1 Ta1 O3,-0.58
La1 B1 O3,2.64
Ge1 Pt1 N1 O2,1.36
Ta1 Mo1 O3,0.56
Y1 Pb1 N3,1.86
K1 Sb1 N1 O1 F1,1
Pt1 Rh1 S1 O2,1.34
Ag1 Ru1 N3,1.62
Ti1 Pd1 O3,1.48
Nb2 S1 O2,0.64
Mg1 B1 O2 F1,0.94
Ni1 Te1 N1 O2,1.42
V1 Fe1 O3,0.78
Sc1 W1 N1 O2,1.04
Y1 Ru1 O2 F1,1.4
Cs1 Ag1 N1 O2,1.94
Rb1 Al1 N1 O1 F1,1.34
Sr1 Os1 N3,4.4
Tl1 Sb1 N1 O2,1.8
Re1 Sn1 N2 O1,0.54
Rb1 Mg1 O2 F1,0.88
Sr1 In1 N1 O2,0.84
K1 Rb1 N1 O1 F1,2.66
Zr1 B1 N2 O1,1.14
Ca1 Cu1 N3,2.18
Be1 Ge1 S1 O2,1.34
Zn1 Pt1 N1 O1 F1,1.94
K1 V1 O3,-0.14
Li1 Zr1 N2 O1,1.66
Ta1 Mn1 O3,0.06
Tl1 Cd1 N3,2.52
Sr1 V1 N1 O1 F1,2.7
Na1 Au1 O3,2.42
Ca1 Cd1 S1 O2,1.08
Hf1 Cd1 N2 O1,1.74
Zn1 Ge1 N1 O1 F1,0.9
Fe1 B1 N1 O1 F1,2.26
Li1 Ga1 N1 O2,1.26
Y1 Ir1 O2 F1,1.82
Ni1 W1 S1 O2,0.64
Ta1 Mn1 O2 F1,1.18
Li1 W1 O3,0
Nb1 Al1 N1 O2,0.78
Ti1 Co1 O2 F1,1.26
Ba1 Re1 N1 O1 F1,3.52
Nb1 Sb1 N3,1.1
Ga1 Mo1 O2 F1,0.88
Tl1 Zn1 N1 O2,1.58
Cs1 Y1 O3,1.62
Sn1 Sb1 O3,0.56
Ti1 Cu1 N3,1.6
Ru1 Rh1 O2 F1,1.54
Hf1 Te1 O2 F1,1.54
Nb1 Pb1 O2 F1,0.34
Bi1 Pb1 N1 O1 F1,0.84
Mg1 Ge1 N2 O1,2.12
Zr1 Ta1 N1 O2,0.76
Zn1 Fe1 N1 O1 F1,1.04
Ge1 B1 N1 O1 F1,2.1
Ta1 Sn1 N1 O1 F1,0.5
Sb1 Ru1 N1 O1 F1,1.26
In1 Co1 N1 O2,1.04
Cr1 In1 N2 O1,0.92
Sc1 Nb1 N3,0.64
Pd1 Au1 N1 O2,2
Ca1 Re1 N1 O1 F1,2.58
Cd1 Si1 S1 O2,1.74
Cr1 Bi1 S1 O2,0.54
As1 Os1 O3,1.48
Bi1 As1 N1 O2,0.78
Rb1 In1 N2 O1,3.52
Ba1 Si1 O3,2.7
Rb1 Bi1 S1 O2,2.64
Ta1 Hg1 N1 O2,0.48
Cs1 As1 O3,0.84
Sr1 Mo1 N3,2.12
Rb1 Sr1 N3,3.44
Hf1 Re1 N1 O2,1.82
Mg1 Al1 N3,2.84
Ni1 Hg1 N2 O1,2.1
In1 B1 N1 O1 F1,1.2
Y1 Ga1 O3,1.2
Cs1 Sn1 O3,1.78
Co1 As1 O2 F1,0.9
Be1 Ge1 N3,2.06
Hf1 Si1 N1 O2,0.94
In1 Pb1 N1 O2,1.06
Pd1 W1 N3,1.1
Y1 Sb1 O3,1.08
Fe1 Ag1 N1 O2,1.28
Mn1 Fe1 N1 O2,0.82
Ca1 Zr1 N1 O1 F1,0.56
Mg1 Pt1 N1 O2,2.14
Ru1 Os1 N1 O1 F1,1.3
Sr1 As1 N1 O2,2.5
Hf1 Sc1 O2 F1,0.84
Cr1 As1 O3,0.92
Sr1 Mn1 N3,4.24
Mg1 W1 N1 O1 F1,1
Be1 Mo1 N3,1.04
Be1 Sb1 N1 O1 F1,1.18
Zr1 Si1 N1 O1 F1,1
In1 Sb1 N2 O1,0.96
Fe1 W1 N1 O2,0.66
Bi1 Sb1 S1 O2,0.76
Na1 Rh1 N3,2
Hg1 Rh1 N2 O1,1.98
Al1 Fe1 S1 O2,1.04
Ag1 Ge1 N1 O2,1.16
Ta1 Os1 O3,1.18
Mn1 Ge1 N1 O2,0.8
Al1 In1 O2 F1,1.4
Ba1 Te1 N1 O1 F1,0.88
Ti1 V1 N2 O1,0.56
V1 Ni1 O2 F1,1.04
K1 Ti1 N1 O2,1.8
In1 Pb1 O3,0.68
Li1 Y1 S1 O2,1.02
Mg1 Sb1 N1 O2,0.86
Sr1 Bi1 N1 O1 F1,1.06
Sc1 Bi1 N2 O1,1.88
Sr1 Nb1 O2 F1,0.3
K1 Cr1 N1 O1 F1,0.88
Fe1 Os1 N1 O2,1.32
Cs1 Rb1 N3,4.24
Ba1 Al1 N2 O1,2.16
Fe1 Rh1 S1 O2,0.92
In1 Fe1 N3,1.28
Na1 Li1 O2 F1,1.62
Zn1 Ni1 N3,1.7
K1 Au1 S1 O2,3.12
La1 Sb1 O2 F1,1
Sn1 Pb1 N3,1.76
Cu1 Sn1 N2 O1,1.68
Ti1 Ni1 N2 O1,1.52
Ni1 Ge1 S1 O2,0.82
Ir1 Au1 N3,1.94
Co1 Os1 O3,1.46
Na1 As1 N2 O1,2.12
Pt2 N2 O1,1.78
Rb1 Cr1 N3,2.56
Ca1 Al1 N2 O1,1.96
Ge1 Rh1 S1 O2,0.94
Ti1 Rh1 N2 O1,0.84
Cd1 Ag1 S1 O2,1.74
Rb1 Mg1 N1 O2,2.84
Cu1 Sn1 O3,1.06
Ge1 Ru1 S1 O2,0.96
Na1 Ag1 N3,2.76
Mg1 As1 S1 O2,0.84
Pb1 W1 S1 O2,1.5
Mg1 Tl1 N1 O1 F1,1.34
Cs1 W1 N1 O2,3.48
Al1 Tl1 O2 F1,0.5
Fe1 Ni1 S1 O2,0.98
Y1 Be1 O2 F1,0.44
Hg1 Ir1 N2 O1,1.58
Nb1 Os1 O2 F1,1.46
Rb1 La1 O2 F1,1.76
Bi1 Os1 N1 O1 F1,2.28
Zr1 Be1 O2 F1,1.12
Cs1 Ni1 N1 O2,2.12
Fe1 W1 S1 O2,1.16
Ni1 Pb1 S1 O2,1.22
Ca1 In1 N1 O1 F1,1.62
Co1 Re1 N1 O2,1.8
Cr1 Re1 N2 O1,1.62
Zr1 Hg1 O3,0.62
Nb1 As1 N1 O1 F1,1.28
Cs1 Ta1 S1 O2,0.56
Na1 B1 N2 O1,2.24
Ti1 Be1 O3,0.82
In1 Co1 N3,2.58
Cu1 Hg1 O2 F1,1.62
Sc1 Co1 O2 F1,1.04
Na1 Mo1 N2 O1,0.9
Cs1 Ta1 N3,1.5
K1 Nb1 N1 O2,0.1
Cr1 Si1 S1 O2,0.96
Ca1 Re1 O3,1.54
Ba1 Rh1 O3,0.6
Si1 Te1 N1 O1 F1,1.34
La1 In1 N1 O1 F1,0.76
Mn1 Be1 N1 O2,1
As1 Os1 N3,2.2
Cs1 Sn1 O2 F1,1.96
Ge1 W1 S1 O2,1.58
Mg1 Ga1 S1 O2,0.86
Ti1 W1 N2 O1,0.62
Zr1 Rh1 N3,1.22
Hf1 Zr1 O3,0.48
Ba1 In1 N1 O1 F1,1.74
Ta1 Cr1 N3,0.6
Y1 W1 O3,0.78
Li1 Ni1 S1 O2,1.34
Rh1 Pb1 S1 O2,1.22
Cs1 Rh1 N1 O2,3.12
Y1 Au1 N3,2.3
Na1 Zn1 O2 F1,1.08
In1 Si1 N3,1.26
Ba1 Ag1 O3,1.04
Ti1 Cu1 O2 F1,0.2
B1 Mo1 O3,1.6
Mn1 Hg1 O3,0.68
Bi1 B1 N3,1.94
Hg1 Te1 O3,1.6
La1 Ni1 N3,0.92
V1 Te1 N1 O1 F1,1.26
Al1 Sb1 N1 O1 F1,1.72
Ba1 Ni1 O2 F1,0.56
Na1 Pd1 N3,2.24
Tl1 Ru1 O3,2.16
Ga1 Te1 S1 O2,0.94
Ti1 Au1 S1 O2,1.6
Zr1 As1 N1 O2,1.5
V1 Ru1 S1 O2,0.7
Rb1 Zr1 S1 O2,3.48
Mn1 Rh1 N3,1.56
Hf1 Mn1 O3,1.02
Cu2 N1 O2,1.98
Si1 As1 O2 F1,1.36
Ir2 O2 F1,1.7
Rb1 Os1 O3,3.58
Rb1 Al1 N1 O1 F1,3.66
Cu1 Pd1 S1 O2,1.22
Co1 Au1 N2 O1,2.04
Sr1 Hf1 O2 F1,2.2
Ag1 Pb1 N1 O2,1.76
Cs1 Mn1 S1 O2,3
Cr1 Ga1 N1 O1 F1,1
Cs1 Ag1 S1 O2,2.78
Mn1 Pb1 N1 O2,1.16
La1 Y1 S1 O2,1.06
Os1 Pb1 N3,1.1
Zr1 Sb1 S1 O2,1.28
Hg1 W1 N2 O1,2.9
Be1 Ga1 N2 O1,1.88
Mn1 Au1 N1 O2,1.26
Si1 W1 O3,1.52
Cs1 Sr1 O3,1.26
Mo1 As1 N3,1.62
Rb1 As1 N3,2.28
Ti1 Bi1 N2 O1,1.56
Zr1 Pt1 N3,1.3
Zr1 Rh1 N3,1.18
Ti1 Ge1 O3,0.2
Hf1 Ni1 N1 O1 F1,1.46
Te1 As1 N1 O2,1.6
Cu1 Re1 N1 O2,0.74
Ge1 Pd1 N3,1.66
Zn1 Pb1 N1 O1 F1,1.56
Ti1 Ir1 N1 O1 F1,0.78
Al1 Cr1 N1 O1 F1,1.38
Hf1 Mg1 N2 O1,1.2
Na1 Al1 N1 O2,1.02
K1 Ba1 N2 O1,2.76
Ag1 Hg1 S1 O2,1.28
Zr1 Au1 O2 F1,0.6
Zr1 Cr1 S1 O2,0.78
Li1 Tl1 N1 O2,1.9
V1 Si1 O3,0.56
Ga1 Rh1 N1 O2,1.46
Ga1 Ru1 N2 O1,1.38
Sr1 Cr1 O3,1.96
Mn1 As1 N3,1.68
Mg1 Ru1 O3,1.02
Ba1 Sr1 N1 O1 F1,1.44
In1 As1 N3,2.34
K1 Ca1 N2 O1,2.84
Sn1 Ru1 N2 O1,1.42
B1 Pb1 N1 O1 F1,2.66
Cu1 Ir1 N1 O1 F1,1.24
B1 Ir1 N1 O2,1.74
Sc1 Mn1 S1 O2,0.84
Co1 Bi1 S1 O2,1.12
La1 Ge1 O2 F1,1
Zn1 W1 O3,0.4
Cd1 Ir1 N2 O1,1.46
Sc1 Ag1 S1 O2,1.26
Ta1 Cd1 N1 O2,0.24
Mn1 Pt1 N3,1.74
Mg1 Nb1 N1 O1 F1,0.94
Rb1 Mo1 O3,1.68
Rb2 O3,1.98
Mg1 Bi1 O2 F1,1.16
Li1 Pt1 N1 O1 F1,2.34
Zr1 Ag1 N3,1.72
Hg1 Ir1 N1 O1 F1,2.6
Ag1 B1 O2 F1,2.94
Re1 Sn1 N3,2.44
Sc1 Ni1 N1 O2,1.82
Y1 Fe1 N1 O1 F1,1.58
Co1 Si1 O3,1.46
Pd1 Ir1 O3,1.64
La1 Bi1 N1 O2,0.82
Re1 Sb1 N2 O1,1.36
Cu1 Ge1 O3,1.22
Hf1 Ti1 O2 F1,0.76
Y1 Mg1 N1 O2,1.52
Li1 Al1 N3,1.94
Na1 Os1 S1 O2,1.08
Zn1 Ag1 O2 F1,1.6
Sc1 Rh1 N1 O2,1.9
K1 In1 O2 F1,0.56
Rb1 Mn1 O3,2.46
Y1 Sn1 N1 O2,0.82
La1 Be1 N3,3.06
Hf1 In1 N1 O2,0.6
Ta1 Al1 O3,0.76
Sc1 Sn1 O2 F1,0.32
Rb1 La1 N2 O1,2.08
Rb1 Re1 N2 O1,4.54
Ba1 Hg1 S1 O2,2.02
Sn1 Ir1 O3,1.26
Fe1 Pd1 S1 O2,1
Si1 Pd1 O3,1.06
Si1 Rh1 O2 F1,2.02
Sb1 Au1 N3,2.34
Cd1 Co1 N3,1.8
Sc1 Ti1 S1 O2,0.88
Na1 In1 O3,1.78
Zr1 Ir1 N1 O1 F1,1.46
Hg1 Mo1 N3,2.82
Rb1 Si1 N2 O1,1.98
Rb1 Hg1 N3,3.04
Ba1 Pt1 N1 O1 F1,1.2
K1 Ca1 O3,1.28
Cd1 Ru1 S1 O2,1.34
Cr1 Cu1 S1 O2,0.74
Fe1 Pb1 N3,1.96
In1 B1 N2 O1,3.22
Ta1 Nb1 N2 O1,0.44
Sc1 Au1 N3,1.84
Mn1 Hg1 N3,2.76
Na1 Mn1 N3,1.6
Re1 Pb1 N3,0.64
Ti1 Pd1 N2 O1,0.94
Zr1 Re1 N1 O2,1.24
Ca1 Hg1 S1 O2,1.7
Ge1 Pd1 S1 O2,0.84
Hf1 Sn1 S1 O2,0.6
Ag1 Bi1 N2 O1,1.92
Ca1 Rh1 O2 F1,0.96
Sc1 Co1 N2 O1,2.16
Al1 Ir1 S1 O2,1.54
Mn1 Bi1 N2 O1,1.4
Hf1 Mo1 N1 O1 F1,1.32
Zn1 In1 N2 O1,2
Sr1 Y1 N1 O2,0.86
Ta1 Os1 N1 O2,1.44
K1 Ag1 N2 O1,2.56
Ba1 Ca1 N3,2.9
Ca1 B1 O2 F1,2.78
Sc1 Ge1 N1 O2,0.66
Ta1 Al1 S1 O2,1.14
Ba1 Zn1 O2 F1,1.64
Si1 Ge1 O2 F1,0.98
Te1 Pt1 N2 O1,1.34
Mg1 Ni1 O3,1.6
Re1 Ge1 O2 F1,1.58
Be1 Mo1 N1 O1 F1,1.36
B1 Rh1 N2 O1,1.62
Cs1 Fe1 O3,3.2
Ir1 W1 O3,1.74
Sr1 Ru1 O3,0.5
W1 Au1 O2 F1,0.7
Nb1 Ir1 N1 O2,1.4
Ge1 B1 O3,2.1
Ga1 W1 N1 O1 F1,0.54
Hf1 Ta1 N3,1.7
Y1 Sc1 N3,1.94
Al1 B1 O3,1.22
Cr1 Sn1 N1 O2,0.7
Li1 Os1 N2 O1,1.32
Hf1 Ag1 O2 F1,0.32
Na1 Zr1 N3,1.72
Sc1 Fe1 N1 O2,0.92
Ba1 B1 O2 F1,2.84
Ca1 Zn1 O2 F1,1.38
Cd1 Pt1 O2 F1,1.9
Sn1 W1 N1 O2,0.26
Hf1 Mn1 O2 F1,1.34
Re1 Pd1 N2 O1,1.58
Fe1 Re1 O2 F1,1.56
V1 Pb1 N1 O1 F1,0.36
Li1 Be1 S1 O2,1.54
V1 Ir1 O3,1.16
Hg1 Pd1 N2 O1,2.08
Nb1 Re1 N1 O1 F1,1.38
Zn1 Ge1 N3,1.7
Mo1 Ru1 N1 O1 F1,1.58
La1 Tl1 O3,0.7
Rb1 Te1 N3,4.1
Y1 Si1 S1 O2,0.84
Fe1 Au1 N3,1.6
Nb1 Cu1 N1 O1 F1,1.48
Ni1 Ru1 N3,1.58
La1 Pb1 N2 O1,1.22
Na1 Ga1 S1 O2,1.52
Ni1 Au1 N1 O2,1.96
In1 Ag1 N1 O1 F1,1.6
Y1 Ta1 N2 O1,1.18
La1 V1 S1 O2,0.26
In1 Ir1 N3,1.32
La1 As1 O2 F1,1.32
Li1 Mo1 S1 O2,0.78
Fe1 Sb1 O3,0.8
K1 In1 S1 O2,2.64
Zr1 Fe1 N1 O2,0.76
Zr1 Hg1 O2 F1,1.48
Ga1 Sb1 O2 F1,0.6
Sn1 Au1 O2 F1,1.26
Cd1 As1 N3,2.7
Y1 W1 N1 O2,0.6
Hg1 Os1 N3,3.48
Y1 Cu1 O2 F1,1.06
Y1 Nb1 N1 O2,2.02
Li1 Bi1 N3,2.54
Ba1 Tl1 S1 O2,1.08
Cs1 Y1 N3,2.18
Rh1 Au1 N1 O2,2.08
Na1 Ni1 N2 O1,1.94
Ge1 Te1 N1 O2,1.22
Mn1 Fe1 O2 F1,0.64
K1 Sn1 N3,2.04
K1 Ni1 O2 F1,2.88
Te1 As1 O3,1.1
Cu1 Sb1 S1 O2,0.74
Ba1 Zn1 N2 O1,1.54
Li1 Tl1 O2 F1,1.34
Na1 W1 N3,2.04
Hf1 Pt1 O2 F1,1.74
Li1 V1 N2 O1,2.46
Zr1 Ru1 N1 O1 F1,1.3
Ca1 Os1 N1 O1 F1,1.22
Zr1 Cu1 N1 O2,1.22
Ca1 Ir1 N3,1.92
Zr1 Pd1 S1 O2,1.42
La1 Te1 N1 O1 F1,1.54
Cs1 Ti1 S1 O2,3.46
B1 Au1 N1 O1 F1,1.86
Rb1 Cd1 N1 O2,1.48
Tl1 Mo1 N1 O2,2.3
Tl1 Ru1 N3,1.56
Nb1 Ru1 O3,1.54
Ti1 Pb1 N1 O2,1.52
Cs1 Co1 N1 O1 F1,1.4
Li1 Au1 S1 O2,1.4
Mn1 Au1 S1 O2,1.42
Ga1 B1 O2 F1,1.12
Cs1 Co1 N2 O1,2.88
Na1 V1 N3,3.82
Ag1 Au1 S1 O2,1.52
Ga1 Fe1 N2 O1,1.28
La1 Cr1 S1 O2,0.9
Cu1 As1 N1 O2,1.44
Li1 Te1 N3,2.14
Al1 Pd1 N1 O1 F1,2.2
Ba1 Mo1 O2 F1,0.32
Rb1 Cu1 S1 O2,3.22
In1 Pb1 O2 F1,0.78
Y1 Ga1 N1 O1 F1,0.76
Zr1 Ti1 O2 F1,0.74
Si1 Os1 N1 O1 F1,1.9
B1 Pt1 N2 O1,1.78
Mn1 Tl1 S1 O2,0.82
Mn1 Sb1 N2 O1,0.84
K1 Ta1 O3,1.48
La1 Hg1 S1 O2,1.14
Cs1 Hg1 O3,1.56
Zr1 Mn1 N3,0.74
Ti1 Zn1 O3,1.06
Ti1 Ge1 N1 O2,1.18
In1 Fe1 O2 F1,0.5
Tl1 Zn1 O3,1.28
Al1 Te1 N2 O1,1.48
In1 Pd1 N2 O1,1.58
Rh1 Au1 N1 O1 F1,1.42
Si1 Au1 N3,1.72
Ag1 Pt1 N3,1.9
Cu1 Bi1 N1 O2,1.2
Cs1 Nb1 N2 O1,1.28
Bi1 Pd1 S1 O2,0.98
Be1 As1 S1 O2,1.26
Y1 Sn1 N1 O1 F1,0.96
Ca1 Co1 N3,1.54
V1 Zn1 S1 O2,0.54
V1 Mo1 O2 F1,0.88
Li1 Ni1 O3,2.04
Rb1 W1 N3,1.2
Y1 Ga1 N1 O2,1.72
Co1 Cu1 O2 F1,1.14
Sc1 Pd1 N1 O2,1.8
Mn1 Ga1 N1 O1 F1,0.88
Cr1 Hg1 O3,1.38
Re1 As1 O3,1.06
In1 Ge1 O2 F1,0.52
Zn1 Au1 S1 O2,1.3
Ti1 Bi1 O2 F1,0.56
Ti1 Fe1 N1 O2,0.92
Sb1 W1 N3,0.82
V1 Zn1 N2 O1,1.44
Ti1 Co1 N1 O2,1.16
Ba1 Li1 N2 O1,2.18
Na1 Pt1 N1 O2,1.6
As1 Pt1 N1 O2,1.46
Mg1 As1 N2 O1,1.92
Sr1 Pt1 N2 O1,3.54
Li1 Sn1 N1 O1 F1,1.1
Tl1 V1 S1 O2,1.24
Sr1 W1 N1 O1 F1,0.68
Ba1 Cd1 S1 O2,1.98
Sc2 S1 O2,0.86
Nb1 B1 O2 F1,1.4
Zr2 N3,0.8
La1 Ge1 N2 O1,0.54
K1 Ru1 N3,4.6
K1 Os1 N2 O1,4.68
V1 Os1 N1 O2,1.6
Na1 Tl1 N1 O1 F1,2.18
Ta1 Te1 N3,1.2
Cs1 Hf1 N1 O1 F1,0.96
Be1 Os1 O2 F1,2.2
Cu1 B1 N1 O2,1.7
La1 Ti1 S1 O2,0.48
Tl1 Au1 N2 O1,2.66
Pt1 Rh1 N3,1.64
Sn1 As1 N2 O1,1.2
Mg1 Pd1 N1 O2,1.42
La1 Hf1 N1 O2,1.26
Mg1 Cu1 S1 O2,1
Be1 V1 O2 F1,1.24
K1 Ir1 S1 O2,1.34
Na1 Cd1 N1 O1 F1,1.76
